x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0																															
x;x;0;0	2;0;1;0	3;0;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	4;0;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;0;1;0	3;0;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	4;0;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;0;1;0	3;0;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	0;1;1;0	1;1;1;0	4;0;1;0																															
x;x;0;0	2;1;1;0	3;1;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	3;1;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	3;1;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	0;2;1;0	1;2;1;0	2;1;1;0																															
x;x;0;0	2;1;1;0	f;f;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	f;f;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	f;f;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;2;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	4;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;2;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	0;1;1;0	4;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	1;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	1;2;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	1;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	0;2;1;0	1;2;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	9;2;0;1	c;c;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	9;2;0;2	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	9;2;0;2	c;c;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	9;2;0;3	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	9;2;0;1	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	9;2;0;2	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	9;2;0;2	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	9;2;0;3	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;0;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	4;0;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;0;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;2;1;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	x;x;0;0	2;1;1;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	y;y;0;0	2;1;1;0																															
